"idpessoa","descNome","numCNPJ"
2256649,Zeca Loteiro 2256649,65200303000110
4511764,Zeca Loteiro 4511764,533636000161
112845,Zeca Loteiro 112845,22565661000126
258223,Zeca Loteiro 258223,16536360000100
137,Zeca Loteiro 137,22113103000130
1742097,Zeca Loteiro 1742097,6156110000103
4025,Zeca Loteiro 4025,1100325000001
2745686,Zeca Loteiro 2745686,203020000151
636644,Zeca Loteiro 636644,256661015316
1339552,Zeca Loteiro 1339552,
700066,Zeca Loteiro 700066,6030121000106
723461,Zeca Loteiro 723461,22503626000111
2471363,Zeca Loteiro 2471363,2110566000150
287912,Zeca Loteiro 287912,
112845,Zeca Loteiro 112845,22565661000126
85437,Zeca Loteiro 85437,66606023051151
3181163,Zeca Loteiro 3181163,11600162
48723,Zeca Loteiro 48723,
640471,Zeca Loteiro 640471,22511251000620
1085419,Zeca Loteiro 1085419,26563613000130
636644,Zeca Loteiro 636644,256661015316
2288611,Zeca Loteiro 2288611,66631016000120
2984054,Zeca Loteiro 2984054,22652100000123
627012,Zeca Loteiro 627012,160531000011
1852133,Zeca Loteiro 1852133,
2303039,Zeca Loteiro 2303039,6325211000100
142,Zeca Loteiro 142,6611210
1209677,Zeca Loteiro 1209677,3060103000116
2790464,Zeca Loteiro 2790464,12515613000131
40905,Zeca Loteiro 40905,1110022000050
85437,Zeca Loteiro 85437,66606023051151
1792248,Zeca Loteiro 1792248,
597512,Zeca Loteiro 597512,16130265000131
2111268,Zeca Loteiro 2111268,11025610000160
640471,Zeca Loteiro 640471,22511251000620
4103060,Zeca Loteiro 4103060,3631130000113
624244,Zeca Loteiro 624244,1330563000030
4082139,Zeca Loteiro 4082139,3360656000116
2784720,Zeca Loteiro 2784720,13103603000110
275261,Zeca Loteiro 275261,63003061000131
339145,Zeca Loteiro 339145,
3553777,Zeca Loteiro 3553777,16530311000103
562844,Zeca Loteiro 562844,22060531000101
801498,Zeca Loteiro 801498,261130001112
605526,Zeca Loteiro 605526,22036025000116
749077,Zeca Loteiro 749077,16163305000156
779946,Zeca Loteiro 779946,60323065000133
1328104,Zeca Loteiro 1328104,
3540223,Zeca Loteiro 3540223,66606023000101
3259032,Zeca Loteiro 3259032,66606023000110
390362,Zeca Loteiro 390362,
914342,Zeca Loteiro 914342,22663001000121
3900,Zeca Loteiro 3900,
2267583,Zeca Loteiro 2267583,22312226000106
2268782,Zeca Loteiro 2268782,12003110000160
2072816,Zeca Loteiro 2072816,
2809674,Zeca Loteiro 2809674,2160130000150
1338073,Zeca Loteiro 1338073,
8782,Zeca Loteiro 8782,
608439,Zeca Loteiro 608439,33315510000166
3361195,Zeca Loteiro 3361195,22502651000113
639925,Zeca Loteiro 639925,
833040,Zeca Loteiro 833040,10216665000103
4082311,Zeca Loteiro 4082311,61003235201
3543393,Zeca Loteiro 3543393,20613106000112
1843441,Zeca Loteiro 1843441,
206801,Zeca Loteiro 206801,20155361000100
1496716,Zeca Loteiro 1496716,
2030251,Zeca Loteiro 2030251,
749031,Zeca Loteiro 749031,10101105000160
2021032,Zeca Loteiro 2021032,500316000151
826751,Zeca Loteiro 826751,5312336000111
1939451,Zeca Loteiro 1939451,16102053000130
818585,Zeca Loteiro 818585,1311313000100
85437,Zeca Loteiro 85437,66606023051151
667590,Zeca Loteiro 667590,33300510000160
1808953,Zeca Loteiro 1808953,22025523000100
775885,Zeca Loteiro 775885,22113103000130
346930,Zeca Loteiro 346930,
636152,Zeca Loteiro 636152,66606023000110
608424,Zeca Loteiro 608424,22161663000106
1241562,Zeca Loteiro 1241562,636600000110
85437,Zeca Loteiro 85437,66606023051151
1136321,Zeca Loteiro 1136321,22216062000122
563066,Zeca Loteiro 563066,10116503000162
1817847,Zeca Loteiro 1817847,6060661000066
912405,Zeca Loteiro 912405,2333625000160
48724,Zeca Loteiro 48724,
1304153,Zeca Loteiro 1304153,22113103000130
48724,Zeca Loteiro 48724,
1612045,Zeca Loteiro 1612045,10336513000116
2311575,Zeca Loteiro 2311575,565233000162
3685,Zeca Loteiro 3685,
3391834,Zeca Loteiro 3391834,6010166000133
2267154,Zeca Loteiro 2267154,6033060000133
21619,Zeca Loteiro 21619,
1927589,Zeca Loteiro 1927589,10302631000156
1744665,Zeca Loteiro 1744665,16600302000152
424521,Zeca Loteiro 424521,21025305000163
931996,Zeca Loteiro 931996,22000360000611
1240653,Zeca Loteiro 1240653,1103560000125
775885,Zeca Loteiro 775885,22113103000130
4073248,Zeca Loteiro 4073248,11160606000110
85437,Zeca Loteiro 85437,66606023051151
1528631,Zeca Loteiro 1528631,2160130000150
1982683,Zeca Loteiro 1982683,16510603000115
2147425,Zeca Loteiro 2147425,61356000136
9953,Zeca Loteiro 9953,22106635000133
1755459,Zeca Loteiro 1755459,2611303000113
19010,Zeca Loteiro 19010,16163321000133
1183487,Zeca Loteiro 1183487,22565661000126
85437,Zeca Loteiro 85437,66606023051151
925951,Zeca Loteiro 925951,22063003000133
801504,Zeca Loteiro 801504,16163300000101
637886,Zeca Loteiro 637886,56063666000050
575717,Zeca Loteiro 575717,22662313000111
1485667,Zeca Loteiro 1485667,66606023051151
3223428,Zeca Loteiro 3223428,13663351000130
1051689,Zeca Loteiro 1051689,66606023000110
1622623,Zeca Loteiro 1622623,26510001
4075113,Zeca Loteiro 4075113,15123303000120
865032,Zeca Loteiro 865032,60053610000116
1241562,Zeca Loteiro 1241562,636600000110
1460892,Zeca Loteiro 1460892,
17352,Zeca Loteiro 17352,16136331000115
3398324,Zeca Loteiro 3398324,15365601000160
844646,Zeca Loteiro 844646,1333501000133
1233627,Zeca Loteiro 1233627,1321566000161
911412,Zeca Loteiro 911412,501616000101
111819,Zeca Loteiro 111819,
1224457,Zeca Loteiro 1224457,
793994,Zeca Loteiro 793994,
21941,Zeca Loteiro 21941,1310500000005
862759,Zeca Loteiro 862759,3011030000163
2280697,Zeca Loteiro 2280697,12515613000131
410844,Zeca Loteiro 410844,60051020000120
1518431,Zeca Loteiro 1518431,
1149447,Zeca Loteiro 1149447,16531163000160
674290,Zeca Loteiro 674290,
633322,Zeca Loteiro 633322,1200300000033
2691490,Zeca Loteiro 2691490,66606023000110
2291677,Zeca Loteiro 2291677,13313061000112
3181010,Zeca Loteiro 3181010,6366606000105
1475911,Zeca Loteiro 1475911,
2482193,Zeca Loteiro 2482193,2160130000150
772908,Zeca Loteiro 772908,16163022000113
2909137,Zeca Loteiro 2909137,26101555000166
3188410,Zeca Loteiro 3188410,66230066000136
723636,Zeca Loteiro 723636,22066131000115
1761977,Zeca Loteiro 1761977,
70113,Zeca Loteiro 70113,66303610000106
1732710,Zeca Loteiro 1732710,6501536000151
3196221,Zeca Loteiro 3196221,10101105000160
1759863,Zeca Loteiro 1759863,22120363000151
562844,Zeca Loteiro 562844,22060531000101
8488,Zeca Loteiro 8488,22316505000166
1220936,Zeca Loteiro 1220936,63161301000120
94644,Zeca Loteiro 94644,22010661000100
875128,Zeca Loteiro 875128,1311306000100
1522687,Zeca Loteiro 1522687,12612160000136
1507506,Zeca Loteiro 1507506,163632660
749031,Zeca Loteiro 749031,10101105000160
3182214,Zeca Loteiro 3182214,33630350133
85437,Zeca Loteiro 85437,66606023051151
1740038,Zeca Loteiro 1740038,1126501000112
112845,Zeca Loteiro 112845,22565661000126
3344759,Zeca Loteiro 3344759,61210530000120
1988354,Zeca Loteiro 1988354,3031135000126
781534,Zeca Loteiro 781534,22125012000160
3338839,Zeca Loteiro 3338839,2551600000630
4457377,Zeca Loteiro 4457377,16150133000123
934513,Zeca Loteiro 934513,6616606000115
2413716,Zeca Loteiro 2413716,22626236000100
85437,Zeca Loteiro 85437,66606023051151
3468773,Zeca Loteiro 3468773,2036621000156
85437,Zeca Loteiro 85437,66606023051151
2453288,Zeca Loteiro 2453288,22662313000111
908335,Zeca Loteiro 908335,21100606001100
1242010,Zeca Loteiro 1242010,3230303000166
749031,Zeca Loteiro 749031,10101105000160
179815,Zeca Loteiro 179815,
740888,Zeca Loteiro 740888,
1055182,Zeca Loteiro 1055182,22302110000166
20220,Zeca Loteiro 20220,
112845,Zeca Loteiro 112845,22565661000126
686114,Zeca Loteiro 686114,6130013000003
